"Insight Version","1.0.5.2"
"Generation Time",2022-06-06 15:16:09
"Date From",2022-06-06 14:26:25
"Date To",2022-06-06 15:16:10

"GMP252","U1011935","1.3.4"

"Timestamp","GMP252 U1011935 - Carbon dioxide concentration (ppm)"
2022-06-06 14:26:25,270.906430
2022-06-06 14:26:30,273.375400
2022-06-06 14:26:35,276.573180
2022-06-06 14:26:40,275.969300
2022-06-06 14:26:45,278.441680
2022-06-06 14:26:50,285.469180
2022-06-06 14:26:55,288.594420
2022-06-06 14:27:00,286.807040
2022-06-06 14:27:05,285.517120
2022-06-06 14:27:10,282.966430
2022-06-06 14:27:15,279.598940
2022-06-06 14:27:20,276.796800
2022-06-06 14:27:25,276.554230
2022-06-06 14:27:30,271.913450
2022-06-06 14:27:35,262.002900
2022-06-06 14:27:40,251.512560
2022-06-06 14:27:45,240.379100
2022-06-06 14:27:50,236.888760
2022-06-06 14:27:55,233.165990
2022-06-06 14:28:00,229.850420
2022-06-06 14:28:05,225.853670
2022-06-06 14:28:10,225.017320
2022-06-06 14:28:15,224.628980
2022-06-06 14:28:20,222.667800
2022-06-06 14:28:25,220.664630
2022-06-06 14:28:30,217.800490
2022-06-06 14:28:35,216.885530
2022-06-06 14:28:40,216.324280
2022-06-06 14:28:45,216.256030
2022-06-06 14:28:50,216.180880
2022-06-06 14:28:55,218.316790
2022-06-06 14:29:00,226.428560
2022-06-06 14:29:05,242.831560
2022-06-06 14:29:10,248.392640
2022-06-06 14:29:15,253.810840
2022-06-06 14:29:20,258.441470
2022-06-06 14:29:25,261.747700
2022-06-06 14:29:30,262.506900
2022-06-06 14:29:35,262.537930
2022-06-06 14:29:40,262.423800
2022-06-06 14:29:45,261.971280
2022-06-06 14:29:50,261.538060
2022-06-06 14:29:55,260.468400
2022-06-06 14:30:00,259.782930
2022-06-06 14:30:05,260.131840
2022-06-06 14:30:10,260.589360
2022-06-06 14:30:15,260.271820
2022-06-06 14:30:20,260.233980
2022-06-06 14:30:25,260.270800
2022-06-06 14:30:30,260.119260
2022-06-06 14:30:35,259.620330
2022-06-06 14:30:40,259.683000
2022-06-06 14:30:45,260.617650
2022-06-06 14:30:50,259.805600
2022-06-06 14:30:55,259.159900
2022-06-06 14:31:00,258.941680
2022-06-06 14:31:05,258.634340
2022-06-06 14:31:10,254.569270
2022-06-06 14:31:15,251.607300
2022-06-06 14:31:20,247.379700
2022-06-06 14:31:25,243.116800
2022-06-06 14:31:30,242.288210
2022-06-06 14:31:35,242.021410
2022-06-06 14:31:40,241.021360
2022-06-06 14:31:45,239.041410
2022-06-06 14:31:50,238.048570
2022-06-06 14:31:55,236.107300
2022-06-06 14:32:00,235.328610
2022-06-06 14:32:05,235.525830
2022-06-06 14:32:10,235.640210
2022-06-06 14:32:15,235.546630
2022-06-06 14:32:20,235.438600
2022-06-06 14:32:25,235.135480
2022-06-06 14:32:30,234.679340
2022-06-06 14:32:35,234.539320
2022-06-06 14:32:40,234.401750
2022-06-06 14:32:45,234.302190
2022-06-06 14:32:50,234.278050
2022-06-06 14:32:55,234.181760
2022-06-06 14:33:00,233.999650
2022-06-06 14:33:05,233.957640
2022-06-06 14:33:10,233.940060
2022-06-06 14:33:15,233.915910
2022-06-06 14:33:20,233.822170
2022-06-06 14:33:25,233.796430
2022-06-06 14:33:30,233.902010
2022-06-06 14:33:35,234.142820
2022-06-06 14:33:40,234.128680
2022-06-06 14:33:45,234.066740
2022-06-06 14:33:50,234.001360
2022-06-06 14:33:55,234.195420
2022-06-06 14:34:00,234.495100
2022-06-06 14:34:05,234.609360
2022-06-06 14:34:10,234.815570
2022-06-06 14:34:15,237.501900
2022-06-06 14:34:20,242.230010
2022-06-06 14:34:25,244.363510
2022-06-06 14:34:30,243.989990
2022-06-06 14:34:35,243.359920
2022-06-06 14:34:40,242.945820
2022-06-06 14:34:45,241.504530
2022-06-06 14:34:50,240.574540
2022-06-06 14:34:55,240.642300
2022-06-06 14:35:00,240.871410
2022-06-06 14:35:05,241.113630
2022-06-06 14:35:10,242.725970
2022-06-06 14:35:15,243.595050
2022-06-06 14:35:20,243.723560
2022-06-06 14:35:25,244.049470
2022-06-06 14:35:30,244.247880
2022-06-06 14:35:35,243.786120
2022-06-06 14:35:40,242.868400
2022-06-06 14:35:45,241.605440
2022-06-06 14:35:50,240.981950
2022-06-06 14:35:55,240.118530
2022-06-06 14:36:00,239.645770
2022-06-06 14:36:05,237.868420
2022-06-06 14:36:10,237.209460
2022-06-06 14:36:15,237.183440
2022-06-06 14:36:20,237.304380
2022-06-06 14:36:25,237.804550
2022-06-06 14:36:30,238.970030
2022-06-06 14:36:35,239.787450
2022-06-06 14:36:40,240.052570
2022-06-06 14:36:45,239.853640
2022-06-06 14:36:50,239.627520
2022-06-06 14:36:55,239.562470
2022-06-06 14:37:00,239.562470
2022-06-06 14:37:05,239.388440
2022-06-06 14:37:10,239.388440
2022-06-06 14:37:15,239.041470
2022-06-06 14:37:20,239.015720
2022-06-06 14:37:25,238.974300
2022-06-06 14:37:30,238.974300
2022-06-06 14:37:35,238.941150
2022-06-06 14:37:40,238.939130
2022-06-06 14:37:45,238.961690
2022-06-06 14:37:50,239.174770
2022-06-06 14:37:55,239.626770
2022-06-06 14:38:00,239.526120
2022-06-06 14:38:05,239.487120
2022-06-06 14:38:10,239.585420
2022-06-06 14:38:15,239.663240
2022-06-06 14:38:20,239.694520
2022-06-06 14:38:25,239.764830
2022-06-06 14:38:30,239.758830
2022-06-06 14:38:35,239.746920
2022-06-06 14:38:40,239.744930
2022-06-06 14:38:45,239.605900
2022-06-06 14:38:50,239.319780
2022-06-06 14:38:55,239.638090
2022-06-06 14:39:00,239.700400
2022-06-06 14:39:05,239.745770
2022-06-06 14:39:10,240.230130
2022-06-06 14:39:15,240.979450
2022-06-06 14:39:20,241.159520
2022-06-06 14:39:25,241.184000
2022-06-06 14:39:30,241.194850
2022-06-06 14:39:35,241.189270
2022-06-06 14:39:40,240.750080
2022-06-06 14:39:45,240.286120
2022-06-06 14:39:50,239.593780
2022-06-06 14:39:55,239.472900
2022-06-06 14:40:00,238.960390
2022-06-06 14:40:05,238.591770
2022-06-06 14:40:10,238.360980
2022-06-06 14:40:15,238.312910
2022-06-06 14:40:20,238.320130
2022-06-06 14:40:25,238.205720
2022-06-06 14:40:30,238.151350
2022-06-06 14:40:35,237.658680
2022-06-06 14:40:40,237.356170
2022-06-06 14:40:45,236.754900
2022-06-06 14:40:50,236.143920
2022-06-06 14:40:55,235.515880
2022-06-06 14:41:00,235.427370
2022-06-06 14:41:05,235.432950
2022-06-06 14:41:10,236.670730
2022-06-06 14:41:15,238.368930
2022-06-06 14:41:20,242.888530
2022-06-06 14:41:25,244.805850
2022-06-06 14:41:30,249.027130
2022-06-06 14:41:35,251.465040
2022-06-06 14:41:40,253.393810
2022-06-06 14:41:45,253.665860
2022-06-06 14:41:50,253.731220
2022-06-06 14:41:55,253.982330
2022-06-06 14:42:00,254.383210
2022-06-06 14:42:05,255.620990
2022-06-06 14:42:10,257.272030
2022-06-06 14:42:15,263.975130
2022-06-06 14:42:20,267.661740
2022-06-06 14:42:25,272.101560
2022-06-06 14:42:30,276.055570
2022-06-06 14:42:35,277.197500
2022-06-06 14:42:40,277.668300
2022-06-06 14:42:45,278.098880
2022-06-06 14:42:50,280.267180
2022-06-06 14:42:55,280.488620
2022-06-06 14:43:00,280.545400
2022-06-06 14:43:05,281.071900
2022-06-06 14:43:10,281.723820
2022-06-06 14:43:15,281.816000
2022-06-06 14:43:20,281.630280
2022-06-06 14:43:25,278.430540
2022-06-06 14:43:30,275.776520
2022-06-06 14:43:35,272.507480
2022-06-06 14:43:40,268.782170
2022-06-06 14:43:45,266.224880
2022-06-06 14:43:50,265.646180
2022-06-06 14:43:55,265.017300
2022-06-06 14:44:00,264.601070
2022-06-06 14:44:05,264.703920
2022-06-06 14:44:10,272.436830
2022-06-06 14:44:15,277.254180
2022-06-06 14:44:20,279.082100
2022-06-06 14:44:25,279.232820
2022-06-06 14:44:30,279.223450
2022-06-06 14:44:35,279.153840
2022-06-06 14:44:40,279.158780
2022-06-06 14:44:45,279.447600
2022-06-06 14:44:50,283.483700
2022-06-06 14:44:55,289.488220
2022-06-06 14:45:00,292.036380
2022-06-06 14:45:05,293.913820
2022-06-06 14:45:10,287.414030
2022-06-06 14:45:15,282.758300
2022-06-06 14:45:20,268.727170
2022-06-06 14:45:25,262.616200
2022-06-06 14:45:30,255.673700
2022-06-06 14:45:35,252.086870
2022-06-06 14:45:40,248.113110
2022-06-06 14:45:45,246.001040
2022-06-06 14:45:50,244.960420
2022-06-06 14:45:55,241.477300
2022-06-06 14:46:00,239.520230
2022-06-06 14:46:05,238.658940
2022-06-06 14:46:10,238.531620
2022-06-06 14:46:15,238.364470
2022-06-06 14:46:20,238.208940
2022-06-06 14:46:25,238.024570
2022-06-06 14:46:30,237.871520
2022-06-06 14:46:35,237.714860
2022-06-06 14:46:40,236.961730
2022-06-06 14:46:45,236.789870
2022-06-06 14:46:50,236.588460
2022-06-06 14:46:55,236.287960
2022-06-06 14:47:00,235.407460
2022-06-06 14:47:05,234.917360
2022-06-06 14:47:10,234.418260
2022-06-06 14:47:15,233.538420
2022-06-06 14:47:20,232.899700
2022-06-06 14:47:25,232.335680
2022-06-06 14:47:30,232.090240
2022-06-06 14:47:35,231.859630
2022-06-06 14:47:40,231.682330
2022-06-06 14:47:45,230.910370
2022-06-06 14:47:50,229.604340
2022-06-06 14:47:55,228.973570
2022-06-06 14:48:00,228.886280
2022-06-06 14:48:05,228.967500
2022-06-06 14:48:10,229.153120
2022-06-06 14:48:15,229.241880
2022-06-06 14:48:20,229.705180
2022-06-06 14:48:25,230.311130
2022-06-06 14:48:30,230.693700
2022-06-06 14:48:35,231.592790
2022-06-06 14:48:40,231.994380
2022-06-06 14:48:45,231.999910
2022-06-06 14:48:50,232.209170
2022-06-06 14:48:55,233.046230
2022-06-06 14:49:00,233.428630
2022-06-06 14:49:05,233.807950
2022-06-06 14:49:10,234.021870
2022-06-06 14:49:15,234.246550
2022-06-06 14:49:20,235.628810
2022-06-06 14:49:25,236.463990
2022-06-06 14:49:30,242.124510
2022-06-06 14:49:35,247.186680
2022-06-06 14:49:40,251.416760
2022-06-06 14:49:45,252.942100
2022-06-06 14:49:50,253.204400
2022-06-06 14:49:55,253.161200
2022-06-06 14:50:00,253.056430
2022-06-06 14:50:05,253.006210
2022-06-06 14:50:10,253.141330
2022-06-06 14:50:15,253.233830
2022-06-06 14:50:20,253.232450
2022-06-06 14:50:25,252.741560
2022-06-06 14:50:30,251.741330
2022-06-06 14:50:35,250.691000
2022-06-06 14:50:40,248.719180
2022-06-06 14:50:45,247.925840
2022-06-06 14:50:50,247.638500
2022-06-06 14:50:55,247.335280
2022-06-06 14:51:00,246.844730
2022-06-06 14:51:05,246.742400
2022-06-06 14:51:10,246.302490
2022-06-06 14:51:15,245.356690
2022-06-06 14:51:20,245.126860
2022-06-06 14:51:25,244.782240
2022-06-06 14:51:30,243.498930
2022-06-06 14:51:35,240.755780
2022-06-06 14:51:40,239.507600
2022-06-06 14:51:45,237.093860
2022-06-06 14:51:50,235.761000
2022-06-06 14:51:55,235.554260
2022-06-06 14:52:00,235.164920
2022-06-06 14:52:05,234.609900
2022-06-06 14:52:10,233.829880
2022-06-06 14:52:15,233.648000
2022-06-06 14:52:20,233.500260
2022-06-06 14:52:25,233.420120
2022-06-06 14:52:30,232.400510
2022-06-06 14:52:35,231.614520
2022-06-06 14:52:40,231.356810
2022-06-06 14:52:45,230.700840
2022-06-06 14:52:50,230.352460
2022-06-06 14:52:55,230.305070
2022-06-06 14:53:00,230.330080
2022-06-06 14:53:05,230.353640
2022-06-06 14:53:10,230.359100
2022-06-06 14:53:15,230.292110
2022-06-06 14:53:20,230.240450
2022-06-06 14:53:25,230.725040
2022-06-06 14:53:30,230.924510
2022-06-06 14:53:35,230.814530
2022-06-06 14:53:40,230.417620
2022-06-06 14:53:45,230.406360
2022-06-06 14:53:50,230.560600
2022-06-06 14:53:55,230.939700
2022-06-06 14:54:00,231.227540
2022-06-06 14:54:05,231.484090
2022-06-06 14:54:10,231.612440
2022-06-06 14:54:15,233.155600
2022-06-06 14:54:20,234.118380
2022-06-06 14:54:25,235.249150
2022-06-06 14:54:30,236.179760
2022-06-06 14:54:35,236.664730
2022-06-06 14:54:40,238.211980
2022-06-06 14:54:45,239.665920
2022-06-06 14:54:50,241.210510
2022-06-06 14:54:55,241.513260
2022-06-06 14:55:00,242.274150
2022-06-06 14:55:05,242.439590
2022-06-06 14:55:10,242.458370
2022-06-06 14:55:15,242.509100
2022-06-06 14:55:20,242.641000
2022-06-06 14:55:25,242.733540
2022-06-06 14:55:30,243.055400
2022-06-06 14:55:35,243.645140
2022-06-06 14:55:40,243.966980
2022-06-06 14:55:45,244.430510
2022-06-06 14:55:50,247.463210
2022-06-06 14:55:55,250.120710
2022-06-06 14:56:00,254.216660
2022-06-06 14:56:05,255.860030
2022-06-06 14:56:10,256.776900
2022-06-06 14:56:15,256.784300
2022-06-06 14:56:20,256.576260
2022-06-06 14:56:25,256.432500
2022-06-06 14:56:30,256.625060
2022-06-06 14:56:35,257.959960
2022-06-06 14:56:40,258.678770
2022-06-06 14:56:45,260.489500
2022-06-06 14:56:50,261.274700
2022-06-06 14:56:55,261.686770
2022-06-06 14:57:00,261.678600
2022-06-06 14:57:05,261.282560
2022-06-06 14:57:10,260.775100
2022-06-06 14:57:15,260.047850
2022-06-06 14:57:20,260.071230
2022-06-06 14:57:25,260.388900
2022-06-06 14:57:30,261.576050
2022-06-06 14:57:35,262.761630
2022-06-06 14:57:40,264.550080
2022-06-06 14:57:45,265.475500
2022-06-06 14:57:50,266.545470
2022-06-06 14:57:55,266.934840
2022-06-06 14:58:00,266.971340
2022-06-06 14:58:05,267.002350
2022-06-06 14:58:10,267.034400
2022-06-06 14:58:15,267.104160
2022-06-06 14:58:20,267.151150
2022-06-06 14:58:25,266.621950
2022-06-06 14:58:30,265.907260
2022-06-06 14:58:35,265.218440
2022-06-06 14:58:40,264.794620
2022-06-06 14:58:45,264.295600
2022-06-06 14:58:50,263.628660
2022-06-06 14:58:55,263.564640
2022-06-06 14:59:00,263.599430
2022-06-06 14:59:05,263.770050
2022-06-06 14:59:10,266.215100
2022-06-06 14:59:15,267.805900
2022-06-06 14:59:20,268.411600
2022-06-06 14:59:25,270.083470
2022-06-06 14:59:30,272.373320
2022-06-06 14:59:35,274.745180
2022-06-06 14:59:40,275.281070
2022-06-06 14:59:45,275.353360
2022-06-06 14:59:50,275.234220
2022-06-06 14:59:55,271.013340
2022-06-06 15:00:00,267.170930
2022-06-06 15:00:05,265.245540
2022-06-06 15:00:10,262.831270
2022-06-06 15:00:15,261.304530
2022-06-06 15:00:20,258.338900
2022-06-06 15:00:25,256.269170
2022-06-06 15:00:30,254.277530
2022-06-06 15:00:35,251.965480
2022-06-06 15:00:40,250.378300
2022-06-06 15:00:45,247.200880
2022-06-06 15:00:50,245.319500
2022-06-06 15:00:55,243.959080
2022-06-06 15:01:00,243.879530
2022-06-06 15:01:05,243.873030
2022-06-06 15:01:10,243.784600
2022-06-06 15:01:15,243.204400
2022-06-06 15:01:20,243.145100
2022-06-06 15:01:25,243.100620
2022-06-06 15:01:30,242.612550
2022-06-06 15:01:35,242.377470
2022-06-06 15:01:40,241.009230
2022-06-06 15:01:45,240.175000
2022-06-06 15:01:50,239.682600
2022-06-06 15:01:55,239.746080
2022-06-06 15:02:00,239.896990
2022-06-06 15:02:05,240.606810
2022-06-06 15:02:10,241.119340
2022-06-06 15:02:15,241.734630
2022-06-06 15:02:20,241.785570
2022-06-06 15:02:25,241.682360
2022-06-06 15:02:30,241.604720
2022-06-06 15:02:35,240.549410
2022-06-06 15:02:40,238.185420
2022-06-06 15:02:45,237.143700
2022-06-06 15:02:50,236.946210
2022-06-06 15:02:55,236.907680
2022-06-06 15:03:00,236.919920
2022-06-06 15:03:05,237.214160
2022-06-06 15:03:10,237.432650
2022-06-06 15:03:15,237.572000
2022-06-06 15:03:20,237.668050
2022-06-06 15:03:25,237.665040
2022-06-06 15:03:30,237.638490
2022-06-06 15:03:35,237.624910
2022-06-06 15:03:40,237.553850
2022-06-06 15:03:45,237.593840
2022-06-06 15:03:50,237.754600
2022-06-06 15:03:55,237.764760
2022-06-06 15:04:00,237.503900
2022-06-06 15:04:05,237.468300
2022-06-06 15:04:10,237.325440
2022-06-06 15:04:15,236.578120
2022-06-06 15:04:20,235.225190
2022-06-06 15:04:25,234.915570
2022-06-06 15:04:30,234.463530
2022-06-06 15:04:35,234.163790
2022-06-06 15:04:40,233.945540
2022-06-06 15:04:45,233.578980
2022-06-06 15:04:50,232.860670
2022-06-06 15:04:55,231.646940
2022-06-06 15:05:00,231.628890
2022-06-06 15:05:05,231.648560
2022-06-06 15:05:10,231.668760
2022-06-06 15:05:15,233.971120
2022-06-06 15:05:20,237.941040
2022-06-06 15:05:25,239.804720
2022-06-06 15:05:30,241.890440
2022-06-06 15:05:35,243.471760
2022-06-06 15:05:40,246.173370
2022-06-06 15:05:45,247.262860
2022-06-06 15:05:50,248.458740
2022-06-06 15:05:55,249.119630
2022-06-06 15:06:00,249.321850
2022-06-06 15:06:05,249.387000
2022-06-06 15:06:10,249.401520
2022-06-06 15:06:15,248.585820
2022-06-06 15:06:20,247.357240
2022-06-06 15:06:25,245.507480
2022-06-06 15:06:30,244.331940
2022-06-06 15:06:35,243.065020
2022-06-06 15:06:40,242.332460
2022-06-06 15:06:45,242.115950
2022-06-06 15:06:50,242.051700
2022-06-06 15:06:55,241.958600
2022-06-06 15:07:00,241.303050
2022-06-06 15:07:05,240.935900
2022-06-06 15:07:10,240.514510
2022-06-06 15:07:15,239.980550
2022-06-06 15:07:20,239.745350
2022-06-06 15:07:25,239.963560
2022-06-06 15:07:30,240.594530
2022-06-06 15:07:35,241.238890
2022-06-06 15:07:40,241.503250
2022-06-06 15:07:45,241.925110
2022-06-06 15:07:50,242.045960
2022-06-06 15:07:55,242.136760
2022-06-06 15:08:00,242.171100
2022-06-06 15:08:05,242.277920
2022-06-06 15:08:10,242.357440
2022-06-06 15:08:15,242.569670
2022-06-06 15:08:20,245.217770
2022-06-06 15:08:25,246.791440
2022-06-06 15:08:30,249.079540
2022-06-06 15:08:35,249.896120
2022-06-06 15:08:40,249.462310
2022-06-06 15:08:45,247.752980
2022-06-06 15:08:50,245.860350
2022-06-06 15:08:55,242.684460
2022-06-06 15:09:00,241.000600
2022-06-06 15:09:05,239.291550
2022-06-06 15:09:10,238.038380
2022-06-06 15:09:15,233.370770
2022-06-06 15:09:20,232.551240
2022-06-06 15:09:25,232.758850
2022-06-06 15:09:30,238.397250
2022-06-06 15:09:35,242.072860
2022-06-06 15:09:40,245.608340
2022-06-06 15:09:45,246.628460
2022-06-06 15:09:50,247.439390
2022-06-06 15:09:55,247.910660
2022-06-06 15:10:00,248.021480
2022-06-06 15:10:05,248.031660
2022-06-06 15:10:10,248.065140
2022-06-06 15:10:15,248.760860
2022-06-06 15:10:20,249.299100
2022-06-06 15:10:25,249.409640
2022-06-06 15:10:30,249.400880
2022-06-06 15:10:35,249.445130
2022-06-06 15:10:40,249.552520
2022-06-06 15:10:45,249.547940
2022-06-06 15:10:50,249.383800
2022-06-06 15:10:55,249.389000
2022-06-06 15:11:00,249.345930
2022-06-06 15:11:05,248.242170
2022-06-06 15:11:10,246.409940
2022-06-06 15:11:15,246.164300
2022-06-06 15:11:20,245.543640
2022-06-06 15:11:25,243.419020
2022-06-06 15:11:30,242.146330
2022-06-06 15:11:35,240.933780
2022-06-06 15:11:40,239.800230
2022-06-06 15:11:45,237.732070
2022-06-06 15:11:50,237.018040
2022-06-06 15:11:55,237.100360
2022-06-06 15:12:00,237.370960
2022-06-06 15:12:05,237.387730
2022-06-06 15:12:10,237.469020
2022-06-06 15:12:15,237.647250
2022-06-06 15:12:20,237.917660
2022-06-06 15:12:25,238.008260
2022-06-06 15:12:30,237.798920
2022-06-06 15:12:35,237.442150
2022-06-06 15:12:40,237.115100
2022-06-06 15:12:45,237.018280
2022-06-06 15:12:50,236.960700
2022-06-06 15:12:55,236.949550
2022-06-06 15:13:00,236.942060
2022-06-06 15:13:05,236.908110
2022-06-06 15:13:10,236.958280
2022-06-06 15:13:15,238.705520
2022-06-06 15:13:20,242.266220
2022-06-06 15:13:25,245.918330
2022-06-06 15:13:30,250.817870
2022-06-06 15:13:35,253.184130
2022-06-06 15:13:40,256.155700
2022-06-06 15:13:45,256.668900
2022-06-06 15:13:50,257.188000
2022-06-06 15:13:55,256.011840
2022-06-06 15:14:00,252.592180
2022-06-06 15:14:05,248.938170
2022-06-06 15:14:10,247.073970
2022-06-06 15:14:15,245.576630
2022-06-06 15:14:20,244.842480
2022-06-06 15:14:25,241.294740
2022-06-06 15:14:30,239.249850
2022-06-06 15:14:35,237.896850
2022-06-06 15:14:40,236.572970
2022-06-06 15:14:45,235.134690
2022-06-06 15:14:50,235.086790
2022-06-06 15:14:55,235.087330
2022-06-06 15:15:00,235.099660
2022-06-06 15:15:05,235.277130
2022-06-06 15:15:10,235.602750
2022-06-06 15:15:15,235.620540
2022-06-06 15:15:20,235.568540
2022-06-06 15:15:25,235.528060
2022-06-06 15:15:30,235.538590
2022-06-06 15:15:35,235.642180
2022-06-06 15:15:40,235.614070
2022-06-06 15:15:45,235.338930
2022-06-06 15:15:50,234.863190
2022-06-06 15:15:55,233.726260
2022-06-06 15:16:00,233.434810
2022-06-06 15:16:05,233.413650
2022-06-06 15:16:10,234.185700
